row_id,query_company,query_city,query_state,match_rank,match_name,match_city,match_state,match_row_id,score,tier,match_type,string_score,semantic_score,location_score
7878957,Visit Salt Lake,San Francisco,CA,1,Visit Salt Lake,,,,1.0000,High,Exact,1.0000,7.0241,0.0000
7878957,Visit Salt Lake,San Francisco,CA,2,Visit Salt Lake,Crown Point,IN,,1.0000,High,Exact,1.0000,5.1586,0.0000
7878957,Visit Salt Lake,San Francisco,CA,3,Visit Salt Lake,,IN,,0.9812,High,Exact,1.0000,6.5035,0.0000
7878957,Visit Salt Lake,San Francisco,CA,4,Visit Salt Lake,Mill Valley,CA,,0.9700,High,Exact,1.0000,5.1527,0.4000
7878957,Visit Salt Lake,San Francisco,CA,5,Visit Salt Lake,Salt Lake City,UT,,0.9644,High,Exact,1.0000,5.9188,0.0000
7879015,"Servant Keeper, LLC",Elizabethtown,KY,1,Servant Keeper Events,,,,0.7600,Medium,Semantic,0.8182,4.8960,0.0000
7879015,"Servant Keeper, LLC",Elizabethtown,KY,2,Servant Keeper Events,Peabody,MA,,0.7600,Medium,Semantic,0.8182,3.4855,0.0000
7879015,"Servant Keeper, LLC",Elizabethtown,KY,3,Servant Keeper Events,Charlotte,NC,,0.7600,Medium,Semantic,0.8182,3.6188,0.0000
7879015,"Servant Keeper, LLC",Elizabethtown,KY,4,Servant Keeper Events,Portland,OR,,0.7600,Medium,Semantic,0.8182,3.6431,0.0000
7879015,"Servant Keeper, LLC",Elizabethtown,KY,5,Servant Keeper Events,Morrisville,NC,,0.7600,Medium,Semantic,0.8182,3.3522,0.0000
7879342,NWACUHO - Northwest Association of College & University Housing Officers,Fairbanks,AK,1,Southwest Association College University Housing Officers,,,,0.6712,Low,Semantic,0.7102,4.3352,0.0000
7879342,NWACUHO - Northwest Association of College & University Housing Officers,Fairbanks,AK,2,Southwest Association College & University Housing Officers,,,,0.6711,Low,Semantic,0.7102,4.2035,0.0000
7879342,NWACUHO - Northwest Association of College & University Housing Officers,Fairbanks,AK,3,Western Association of College University Housing Officers,,,,0.6692,Low,Semantic,0.7102,4.1178,0.0000
