Case #,Query,Top Match,Score,Score %,Match Type,String Score,Semantic Score,Match 1 Name,Match 1 Score,Match 1 Type,Match 2 Name,Match 2 Score,Match 2 Type,Match 3 Name,Match 3 Score,Match 3 Type,Match 4 Name,Match 4 Score,Match 4 Type,Match 5 Name,Match 5 Score,Match 5 Type,Match 6 Name,Match 6 Score,Match 6 Type,Match 7 Name,Match 7 Score,Match 7 Type,Match 8 Name,Match 8 Score,Match 8 Type,Match 9 Name,Match 9 Score,Match 9 Type,Match 10 Name,Match 10 Score,Match 10 Type,Match 11 Name,Match 11 Score,Match 11 Type,Match 12 Name,Match 12 Score,Match 12 Type,Match 13 Name,Match 13 Score,Match 13 Type,Match 14 Name,Match 14 Score,Match 14 Type,Match 15 Name,Match 15 Score,Match 15 Type,Match 16 Name,Match 16 Score,Match 16 Type,Match 17 Name,Match 17 Score,Match 17 Type,Match 18 Name,Match 18 Score,Match 18 Type,Match 19 Name,Match 19 Score,Match 19 Type,Match 20 Name,Match 20 Score,Match 20 Type
1,PDMA Association,PDMA Association,1.0000,100.00,exact,1.0000,6.9332,PDMA Association,100.00%,exact,Association Headquarters-PDMA,87.67%,hybrid,PDMA Alliance,81.50%,hybrid,PDMA,71.26%,hybrid,PDMA inc,68.90%,hybrid,PDMA Corporation,68.48%,hybrid,PDS User Group Association,65.40%,hybrid,PDS Users Group Association,65.29%,hybrid,PDA PARTNERS,36.11%,hybrid,PDA ALC,35.81%,hybrid,PD Properties,35.12%,hybrid,PDC Affiliates,35.02%,hybrid,PDC Group Services,31.52%,hybrid,PD Symposium,30.74%,hybrid,PDA,30.71%,hybrid,PDA Event Management,30.63%,hybrid,PDA  Event Management,30.63%,hybrid,PDC Party,29.47%,hybrid,PDC,29.09%,hybrid,PDS,29.07%,hybrid
2,Nicolas/Sanchez Wedding,Nicolas/Sanchez Wedding,1.0000,100.00,exact,1.0000,5.3808,Nicolas/Sanchez Wedding,100.00%,exact,Sanchez Wedding,85.12%,hybrid,Garcia Sanchez Wedding,80.75%,hybrid,Castillo Sanchez Wedding,79.91%,hybrid,Sanchez Wedding Reception,79.04%,hybrid,Rodriguez/ Sanchez Wedding,77.31%,hybrid,Sanchez/Flores Wedding,76.25%,hybrid,Gibson Sanchez Wedding,76.21%,hybrid,Sanchez and Alfonso Wedding,76.18%,hybrid,Sanchez/Ramirez Wedding,76.05%,hybrid,Sanchez/Puerto Wedding,75.83%,hybrid,Datzman Sanchez Wedding,75.43%,hybrid,Sanchez / Bryan Wedding,75.37%,hybrid,Sanchez/Fuentes Wedding,75.09%,hybrid,SANCHEZ-RAMIREZ WEDDING RECEPTION,74.98%,hybrid,Sanchez/Ramos Wedding,74.95%,hybrid,Alequin Sanchez Wedding,74.78%,hybrid,Sanchez/Justin Wedding,74.75%,hybrid,Phillips/Sanchez Wedding,74.64%,hybrid,Sanchez/Hoos Wedding,74.63%,hybrid
3,Kehilat Ariel Synagogue,Kehilat Ariel Synagogue,1.0000,100.00,exact,1.0000,5.9322,Kehilat Ariel Synagogue,100.00%,exact,Kehilat Ariel Messianic Synagogue,91.02%,hybrid,Kehilat Ariel,73.01%,hybrid,Kehilath Israel Synagogue,59.60%,hybrid,Beth Israel Synagogue,55.46%,hybrid,Synagogue 3000 Organization,54.90%,hybrid,Beth El Synagogue,54.68%,hybrid,Bet Torah Synagogue,54.17%,hybrid,Temple Sinai Synagogue,53.91%,hybrid,Bet Aviv Synagogue,53.89%,hybrid,Brooklyn Heights Synagogue,53.86%,hybrid,Beth Shalom Synagogue,53.52%,hybrid,North Shore Synagogue,53.33%,hybrid,Beth Sholom Synagogue,53.23%,hybrid,Park East Synagogue,53.20%,hybrid,Beth El Synagogue Center,53.17%,hybrid,Ohel Moshe Synagogue,53.13%,hybrid,Temple Beth Am Synagogue,53.07%,hybrid,Synagogue Temple Aliyah,53.05%,hybrid,Temple Emanuel Synagogue,52.93%,hybrid
4,Next Level Events,Next Level Events,1.0000,100.00,exact,1.0000,6.0250,Next Level Events,100.00%,exact,Next Level Events Inc,95.11%,hybrid,Next Level Plus Events,92.54%,hybrid,Next Level Now,84.27%,hybrid,Next Level Games,83.79%,hybrid,Next Level Event Design,83.77%,hybrid,Next Level Fairs,83.54%,hybrid,Next Level Promotions,83.39%,hybrid,Next Level Performance,83.25%,hybrid,Level Up Events,80.53%,hybrid,Higher Level Events,78.82%,hybrid,Level 10 Events,77.86%,hybrid,Level 9 Events,77.32%,hybrid,Pro Level Events,77.10%,hybrid,Next View Events,76.83%,hybrid,Next Round Events,76.42%,hybrid,Next Stage Events,75.87%,hybrid,Next Level,75.81%,hybrid,NEXT GENERATION EVENTS,75.49%,hybrid,The Next Level,73.15%,hybrid
5,Site Foundation Golf Tournament,Site Foundation Golf Tournament,1.0000,100.00,exact,1.0000,6.6350,Site Foundation Golf Tournament,100.00%,exact,Hearth Foundation Golf Tournament,80.05%,hybrid,Hi Kid Foundation Golf Tournament,77.72%,hybrid,WSU Athletic Foundation Golf Tournament,77.71%,hybrid,Natl Football Foundation Golf Tournament,77.43%,hybrid,Tournament Golf Foundation Incorporated,74.62%,hybrid,Golf League Amateur Golf Tournament,74.24%,hybrid,Midwest Classic Golf Tournament,74.18%,hybrid,World Amateur Golf Tournament,74.17%,hybrid,Desert Invitational Golf Tournament,73.99%,hybrid,Western States Invitational Golf Tournament,73.98%,hybrid,College Prep Golf Tournament,73.89%,hybrid,Caribbean Golf Invitational Foundation,73.87%,hybrid,National Christian Foundation Golf,73.65%,hybrid,Stanford Intercollegiate Golf Tournament,73.54%,hybrid,Colorado Open Golf foundation,73.48%,hybrid,World Senior Golf Tournament,73.38%,hybrid,YOUTH WORLD GOLF TOURNAMENT,73.27%,hybrid,Ghetto Classic Golf Tournament,73.22%,hybrid,International Junior Golf Tournament,73.21%,hybrid
6,Interim WG Meeting - BIER,Interim WG Meeting - BIER,1.0000,100.00,exact,1.0000,5.0042,Interim WG Meeting - BIER,100.00%,exact,Bi Annual Meeting,52.30%,hybrid,BI Meeting,49.53%,hybrid,Bim Object Meeting,49.35%,hybrid,American Biz Meeting,49.10%,hybrid,BIA OIEP Meeting,48.73%,hybrid,ETW Meeting Management,48.60%,hybrid,BIE ELO MEETING,48.57%,hybrid,CMG Board meeting,48.32%,hybrid,RFW Meeting Planners,48.24%,hybrid,HRW Meeting Services,48.21%,hybrid,Biz meeting,46.52%,hybrid,WMS Meeting,46.32%,hybrid,HRW Meeting,45.06%,hybrid,AB Meeting,44.08%,hybrid,BIS Meeting,44.04%,hybrid,Bierman Meeting,43.99%,hybrid,BISC Meeting,43.68%,hybrid,TRW Meeting,43.39%,hybrid,HR Meeting,43.22%,hybrid
7,DermaQuest Inc,DermaQuest Inc,1.0000,100.00,exact,1.0000,5.8697,DermaQuest Inc,100.00%,exact,"Dermaquest, Incorporated",94.23%,hybrid,Dermaquest Skin Care,85.02%,hybrid,Dermaquest Skin Therapy,83.64%,hybrid,Derma E,43.61%,hybrid,Perquest Inc,42.91%,hybrid,EQuest,42.84%,hybrid,DermaPure,42.81%,hybrid,Mapquest,41.98%,hybrid,Dermapen,41.85%,hybrid,TrialQuest,41.73%,hybrid,AgQuest,41.56%,hybrid,Derma USA,41.28%,hybrid,Alquest,40.81%,hybrid,SEQUEST,40.61%,hybrid,INTERQUEST,40.35%,hybrid,NewQuest,39.68%,hybrid,Derema,39.18%,hybrid,Dermamed,39.05%,hybrid,FundQuest Inc,38.94%,hybrid
8,Ellwood Group Inc,Ellwood Group Inc,1.0000,100.00,exact,1.0000,6.0210,Ellwood Group Inc,100.00%,exact,Ellwood Associates,86.21%,hybrid,Ellwood Community Church,84.57%,hybrid,Delwood,48.51%,hybrid,Sellwood,47.36%,hybrid,Linwood Group,46.73%,hybrid,Wildwood Group,46.60%,hybrid,Millwood Inc,46.16%,hybrid,Kenwood Group,44.98%,hybrid,Reignwood Group,44.71%,hybrid,Lockwood Group,43.79%,hybrid,Marwood Group,43.37%,hybrid,WILDWOOD,43.23%,hybrid,Oakwood Group,42.48%,hybrid,Blackwood Group,42.25%,hybrid,Wedgewood Group,42.18%,hybrid,Ashwood Group,42.01%,hybrid,Polywood Inc,41.92%,hybrid,Alderwoods Group,41.72%,hybrid,The Alderwood Group,41.40%,hybrid
9,American Miniature Horse Registry,American Miniature Horse Registry,1.0000,100.00,exact,1.0000,6.2780,American Miniature Horse Registry,100.00%,exact,American Miniature Horse Association,83.52%,hybrid,American Miniature Horse Association Headquarters,81.89%,hybrid,Miniature Horse & Pony Show,73.10%,hybrid,American Horse Show Association,70.65%,hybrid,American Youth Horse Council,70.08%,hybrid,American Hackney Horse Society,70.06%,hybrid,American Horse Council,64.53%,hybrid,AMERICAN HORSE SCHOOL,64.47%,hybrid,American Horse Publication,63.84%,hybrid,PPHRNA Horse Registry,63.78%,hybrid,American Horse Publications,63.57%,hybrid,Charity Fair Horse Show,54.80%,hybrid,Thoroughbred Horse Show Association,52.92%,hybrid,INDIANAPOLIS CHARITY HORSE SHOW,52.33%,hybrid,Harness Horse Youth Foundation,52.07%,hybrid,National Walking Horse Association,51.91%,hybrid,Iron Horse Interactive,48.34%,hybrid,National Horse Show,48.27%,hybrid,Reining Horse Association,48.12%,hybrid
10,"YADA ENTERPRISES, INC","YADA ENTERPRISES, INC",1.0000,100.00,exact,1.0000,5.5943,"YADA ENTERPRISES, INC",100.00%,exact,Yada Yada,90.49%,hybrid,Yama Enterprises,52.87%,hybrid,Yacada,47.63%,hybrid,Yadea Group,46.82%,hybrid,Yasuda Corporation Limited,46.63%,hybrid,Yama,45.63%,hybrid,Yamagada Corporation,45.43%,hybrid,Yata LLC,45.10%,hybrid,Yapa,45.09%,hybrid,YaMa Group,44.90%,hybrid,Yara,44.40%,hybrid,YABA,44.24%,hybrid,Ya,44.06%,hybrid,Yamwa Corporation,43.21%,hybrid,YA Group,43.17%,hybrid,YAMASA CORPORATION,43.02%,hybrid,Yager Enterprises,42.64%,hybrid,Yam Holdings,41.26%,hybrid,Yas,40.53%,hybrid
