Case,Query,Top Match Score,Match Type,String Score,Semantic Score,Match 1,Score 1,Match 2,Score 2,Match 3,Score 3,Match 4,Score 4,Match 5,Score 5
1,PDMA Association,100.00%,exact,1.0000,6.9332,PDMA Association,100.00%,Association Headquarters-PDMA,87.67%,PDMA Alliance,81.50%,PDMA,71.26%,PDMA inc,68.90%
2,Nicolas/Sanchez Wedding,100.00%,exact,1.0000,5.3808,Nicolas/Sanchez Wedding,100.00%,Sanchez Wedding,85.12%,Garcia Sanchez Wedding,80.75%,Castillo Sanchez Wedding,79.91%,Sanchez Wedding Reception,79.04%
3,Kehilat Ariel Synagogue,100.00%,exact,1.0000,5.9322,Kehilat Ariel Synagogue,100.00%,Kehilat Ariel Messianic Synagogue,91.02%,Kehilat Ariel,73.01%,Kehilath Israel Synagogue,59.60%,Beth Israel Synagogue,55.46%
4,Next Level Events,100.00%,exact,1.0000,6.0250,Next Level Events,100.00%,Next Level Events Inc,95.11%,Next Level Plus Events,92.54%,Next Level Now,84.27%,Next Level Games,83.79%
5,Site Foundation Golf Tournament,100.00%,exact,1.0000,6.6350,Site Foundation Golf Tournament,100.00%,Hearth Foundation Golf Tournament,80.05%,Hi Kid Foundation Golf Tournament,77.72%,WSU Athletic Foundation Golf Tournament,77.71%,Natl Football Foundation Golf Tournament,77.43%
6,Interim WG Meeting - BIER,100.00%,exact,1.0000,5.0042,Interim WG Meeting - BIER,100.00%,Bi Annual Meeting,52.30%,BI Meeting,49.53%,Bim Object Meeting,49.35%,American Biz Meeting,49.10%
7,DermaQuest Inc,100.00%,exact,1.0000,5.8697,DermaQuest Inc,100.00%,"Dermaquest, Incorporated",94.23%,Dermaquest Skin Care,85.02%,Dermaquest Skin Therapy,83.64%,Derma E,43.61%
8,Ellwood Group Inc,100.00%,exact,1.0000,6.0210,Ellwood Group Inc,100.00%,Ellwood Associates,86.21%,Ellwood Community Church,84.57%,Delwood,48.51%,Sellwood,47.36%
9,American Miniature Horse Registry,100.00%,exact,1.0000,6.2780,American Miniature Horse Registry,100.00%,American Miniature Horse Association,83.52%,American Miniature Horse Association Headquarters,81.89%,Miniature Horse & Pony Show,73.10%,American Horse Show Association,70.65%
10,"YADA ENTERPRISES, INC",100.00%,exact,1.0000,5.5943,"YADA ENTERPRISES, INC",100.00%,Yada Yada,90.49%,Yama Enterprises,52.87%,Yacada,47.63%,Yadea Group,46.82%
11,Seafood Nutrition Partnership,100.00%,exact,1.0000,6.7515,Seafood Nutrition Partnership,100.00%,Sustainable Seafood Partnership,81.31%,SEAFOOD NUTRITION,76.55%,Seafood Products Association,59.49%,Seafood Choices Alliance,59.48%
12,"AVIAKOMPANIYA SIBIR, PAO",100.00%,exact,1.0000,4.4580,"AVIAKOMPANIYA SIBIR, PAO",100.00%,AVIAKOMPANIYA MIZHNARODNI AVIA,58.97%,Faizan Kabir,33.90%,Ebira Vonya International,33.86%,Shibir  Desai,33.45%
13,Hartford Hospital School of Nursing,100.00%,exact,1.0000,6.0495,Hartford Hospital School of Nursing,100.00%,Hartford Hospital Offices USA,83.44%,Hartford School District,74.96%,New Hartford School,74.25%,Hartford Hospital,74.10%
14,Internal J&J Meeting and Breakfast,100.00%,exact,1.0000,4.8181,Internal J&J Meeting and Breakfast,100.00%,AEP Breakfast Meeting,62.84%,Breakfast Meeting NYC,62.68%,Bisnow Breakfast Meeting,61.81%,GMCVB Breakfast & Meeting,61.18%
15,Spina Bifida Coalition of Cincinnati,100.00%,exact,1.0000,5.3059,Spina Bifida Coalition of Cincinnati,100.00%,"Spina Bifida Association of Cincinnati, Inc.",81.69%,Spina Bifida Association of Michigan,74.96%,Illinois Spina Bifida Association,74.71%,Spina Bifida Association of Kentucky,74.30%
16,THE SOCA GROUP ORGANIZATION,100.00%,exact,1.0000,6.0391,THE SOCA GROUP ORGANIZATION,100.00%,Team SOCA,78.89%,Soca Society,77.98%,System Organization Group,75.95%,SOCA Convention,75.83%
17,Shiroyama Junior High School,100.00%,exact,1.0000,5.5160,Shiroyama Junior High School,100.00%,Heights Christian Junior High School,80.37%,Junior High School 45,79.70%,Haga Junior High School,79.62%,Jubail Junior High School,79.30%
18,National Home Health,100.00%,exact,1.0000,6.3145,National Home Health,100.00%,National Home Health Care,90.10%,National Home Healthcare,90.01%,Community Home Health,87.80%,RESIDENTIAL HOME HEALTH,87.59%
19,American News Women's Club,100.00%,exact,1.0000,5.0290,American News Women's Club,100.00%,American Women's Club,77.82%,American Women Club,75.55%,DC Democratic Women's Club,73.35%,UM Women's Club,68.65%
20,Denise Roberge,100.00%,exact,1.0000,6.5113,Denise Roberge,100.00%,Tamara Denise,73.13%,Denise Long,72.57%,Tasha Denise,72.45%,Sandra Denise,72.39%
21,Synergy Soccer Club,100.00%,exact,1.0000,6.1949,Synergy Soccer Club,100.00%,Synergy Football Club,81.77%,Synergy Volleyball Club,80.58%,Alliance Soccer Club,78.63%,FC Alliance Soccer Club,78.30%
22,NFC Forum,100.00%,exact,1.0000,7.1179,NFC Forum,100.00%,NFC Forum         .,96.60%,NFC Forum Members,90.00%,Near Field Communications Forum (NFC Forum),75.45%,NFC Fighting,73.84%
23,A Better Choice Limousine & Concierge,100.00%,exact,1.0000,5.7189,A Better Choice Limousine & Concierge,100.00%,First Choice Limousine Services,76.73%,Capital Travel Limousine,55.44%,Chicago Limousine Transportation,54.27%,1st Class Limousine,54.27%
24,Danish Sisterhood of America,100.00%,exact,1.0000,5.6578,Danish Sisterhood of America,100.00%,The Danish Sisterhood of America,97.40%,Danish Sisterhood and Brotherhood of America,90.22%,Danish Brotherhood & Danish Sisterhood of America,86.08%,DANISH BROTHERHOOD AND DANISH SISTERHOOD OF AMERICA,85.73%
25,Brooklyn Comics Club,100.00%,exact,1.0000,6.6312,Brooklyn Comics Club,100.00%,Brooklyn Baseball Club,79.95%,Brooklyn NY Film Club,79.75%,North Brooklyn Comic Book Club,79.50%,Brooklyn Ski Club,79.08%
26,Global Interagency Security Forum,100.00%,exact,1.0000,5.5384,Global Interagency Security Forum,100.00%,Cyber Security Collaboration Forum,76.75%,Infrastructure Security and Resilience Forum,76.43%,The Cyber Security Forum Initiative,76.32%,NY Cyber Security Forum,75.90%
27,Lancet Software,100.00%,exact,1.0000,6.1951,Lancet Software,100.00%,Lancet Technology,76.83%,"Lancet Technology, Incorporated",72.39%,JAT Software,71.43%,CAS Software,71.26%
28,Our Lady of the Lakes Catholic Church and School,100.00%,exact,1.0000,4.8732,Our Lady of the Lakes Catholic Church and School,100.00%,OUR LADY OF THE LAKES CATHOLIC CHURCH,88.83%,Our Lady of the Lakes Catholic School,87.91%,Our Lady of the Lake Roman Catholic Church,83.62%,Our Lady of the Lake Catholic Church,80.29%
29,Broadway Bound International,100.00%,exact,1.0000,6.0455,Broadway Bound International,100.00%,Broadway Bound West,87.19%,Broadway Bound Kids,85.76%,Bound Four Broadway,85.71%,Broadway Bound Studio,85.57%
30,E. H. Wachs,100.00%,exact,1.0000,5.3830,E. H. Wachs,100.00%,E.H. Wachs,61.28%,Wachs Water Services,58.18%,Wachs / Russell Wedding,57.45%,Wachs Services,57.15%
31,Marine Corps Fox 2/5,100.00%,exact,1.0000,5.6733,Marine Corps Fox 2/5,100.00%,United State Marine Corps,77.04%,Marine Corps Personnel Support,76.93%,American US Marine Corps,76.90%,MARINE CORPS BASE CAMP,76.89%
32,Fantasia Turistica,100.00%,exact,1.0000,6.5232,Fantasia Turistica,100.00%,Fantasia Travels,77.55%,Fantasia Travel,76.65%,Fantasia Accessry,75.39%,Ferrari Fantasia,75.12%
33,Esoterix,100.00%,exact,1.0000,6.2666,Esoterix,100.00%,Esoterix Headquarters,85.89%,Esoterix Integrated Genetics,83.75%,CENTRIX,42.58%,Metrix,42.55%
34,Coker Group,100.00%,exact,1.0000,6.3617,Coker Group,100.00%,The Coker Group,90.08%,Coker College,85.75%,Coker Family Reunion,85.67%,Coker Consultants,84.86%
35,GILEAD IT,100.00%,exact,1.0000,6.3824,GILEAD IT,100.00%,Gilead Productions,77.28%,Gilead Science,77.26%,Gilead Sciences,76.99%,Gilead 1N,76.77%
36,4143 Affiliate INDA 2016,100.00%,exact,1.0000,6.0685,4143 Affiliate INDA 2016,100.00%,1528 Affiliate INDA 2016,84.11%,4143 Affiliate Aan 2017,75.58%,430 Affiliate ALA 2016,72.18%,1035 Affiliate CASE 2016,71.30%
37,Pipe and Plant Solutions,100.00%,exact,1.0000,5.9348,Pipe and Plant Solutions,100.00%,Pipe & Plant,79.49%,Advanced Pipe Solutions,78.91%,TV Pipe Solutions,73.75%,Infra Pipe Solutions,73.69%
38,Stephen Rourke,100.00%,exact,1.0000,6.7151,Stephen Rourke,100.00%,Rourke Publishing,73.36%,Damon Rourke,72.66%,Rourke Manufacturing,71.54%,Rourke Rooms,68.93%
39,MIT Initiative on the Digital Economy,100.00%,exact,1.0000,5.2696,MIT Initiative on the Digital Economy,100.00%,MIT Energy Initiative,55.71%,MIT Information Services and Technology,44.17%,MIT INFORMATION SERVICES,42.05%,MIT Information Systems,40.58%
40,Urx Community USA,100.00%,exact,1.0000,6.0693,Urx Community USA,100.00%,USA Community Service Commission,72.07%,Florida Urological Society USA,59.57%,Uratta National Association USA,56.79%,URX Conference,51.90%
41,Spredfast Engage,100.00%,exact,1.0000,5.6944,Spredfast Engage,100.00%,Spredfast Events,77.66%,Spredfast Product,73.88%,Spredfast,67.51%,Shredfast,39.50%
42,City of Dallas-Parks & Recreation,100.00%,exact,1.0000,5.4947,City of Dallas-Parks & Recreation,100.00%,City of Dallas Park & Recreation,87.04%,Dallas Parks and Recreation Department,86.55%,Dallas Parks and Recreation Dept,86.49%,City of Dallas Park & Recreation Department,84.34%
